Biochemical oxygen demand (mg/l),Dissolved Oxygen mg/L,Temperature,pH,COD (chemical Oxygen Demand),Conductivity (uS/cm),Colour (TCU),Floride,Nitrate (mg/l),Potassium (mg/l),Total Organic Carban (mg/l),Chloride (mg/l),Total Suspended Solids,Turbidity (NTU),Potability
3.9,6.8,25.3,7.28,2.744832532,631.54,1.3,0.804289328,19.21,41.82,12.53400873,223.36,4.12,0.06,potable
4.37,6.6,28.3,6.55,2.622304567,747.19,5.21,0.69676026,14.49,11.66,18.11704226,90.18,7.34,1.67,potable
2.46,6.3,26.1,6.81,2.435612065,439.34,9.85,0.65511704,42.44,33.27,14.13495393,242.85,4.84,0.42,potable
0.84,6.6,24.3,6.72,2.599856904,1469.08,13.23,0.7548844,7.93,26.2,17.01511804,151.12,4.52,0.26,potable
2.84,5.6,26,7.6,2.711135895,607.84,2.13,0.621464067,8.22,36.67,14.66895005,117.1,6.74,1.37,potable
1.98,3.7,28.5,8.27,0.320852515,127.64,3.33,0.688858389,16.87,46.88,11.78961929,147.71,13.62,4.81,potable
1.92,4.7,26.6,8.11,2.4098797,336.7,6.82,0.667351638,5.84,17.16,15.11602281,48.4,6.38,1.19,potable
3.52,5.8,26.8,7.68,2.362843271,415.15,6.76,0.831853552,32.82,47.32,13.74866795,234.09,10.16,3.08,potable
2.62,6.6,28,7.9,1.567508195,1016.06,5.98,0.679349011,31.7,43.33,9.984033412,91.99,12.76,4.38,potable
0.74,6.6,26.2,7.37,1.587343395,892.11,6.15,0.704859446,33.55,22.03,17.5391297,133.37,5.66,0.83,potable
4.89,6.2,28.5,8.49,2.161271001,906.18,5.6,0.612295855,8.88,1.38,12.97186896,39.31,13.56,4.78,potable
4.93,5.8,26.5,7.04,2.590011735,870.63,4.57,0.615540603,42.83,36.18,16.90318031,36.62,11.44,3.72,potable
4.44,5.1,29.3,7.8,2.207408626,1450.25,1.76,0.603402874,18.87,22.72,18.52543363,127.35,5.9,0.95,potable
2.31,7.1,29.3,7.08,0.780718794,546.89,10.07,0.646021046,11.68,42.42,11.98363521,174.91,12.96,4.48,potable
4.69,6.8,27,7.36,1.339420938,1182.93,4.78,0.627594885,18.72,15.42,16.98075499,212.62,6.22,1.11,potable
1.18,8.1,27.3,6.82,0.473237902,185.96,3.99,0.63610963,28.54,0.38,10.07559844,69.38,8.96,2.48,potable
0.87,6.2,27.9,7.21,2.775388317,705.66,9.23,0.703239803,16.07,43.92,12.42753833,89.72,11.42,3.71,potable
0.58,3.2,27.8,7.31,0.051665001,610.96,1.18,0.651005765,25.38,35.03,16.84844375,193.23,4.74,0.37,potable
3.89,6.6,28.3,7,1.446560672,1269.23,14.43,0.643330118,28.44,18.82,13.97408473,127.04,11.56,3.78,potable
0.48,6.6,27.5,7.88,1.140881979,1405.83,13.98,0.689862328,31.9,7.77,9.213267539,162.95,5.38,0.69,potable
1.81,6.3,26.3,6.75,1.610334241,853.23,15,0.641448076,2.61,0.63,19.39402667,164.41,10.56,3.28,potable
4.02,6.4,27,7.49,0.730791843,397.93,8.18,0.60633588,32.29,15.16,15.95833351,131.89,10.78,3.39,potable
2.15,6.9,27.4,7,1.834308365,877.59,14.13,0.671061701,25.43,12.9,12.66601633,246.04,6.2,1.1,potable
0.9,7.2,27,6.55,2.497183654,222,4.48,0.602519754,21.12,48.04,15.15740752,4.69,12.7,4.35,potable
4.07,6.9,27.4,8.19,2.946340979,931.1,7.91,0.643051252,8.48,32.13,15.89207853,64.03,10.66,3.33,potable
4.1,7,27.3,7.87,1.316834563,1222.6,7.18,0.641978141,26.42,37.36,11.80284674,57.11,13.08,4.54,potable
1.62,7.6,27,7.44,1.298749501,820.68,9.78,0.664312144,6.22,32.03,15.35758277,227.3,6.18,1.09,potable
3.41,7.1,27.8,6.63,0.938466116,118.97,10.49,0.627422202,14.88,10.72,15.69273832,23.09,9.04,2.52,potable
0.53,6.8,28.4,7.53,2.33910448,330.93,0.09,0.641536088,33.04,39.79,7.791637811,69.32,11.68,3.84,potable
4.02,7.1,28.8,7.71,2.849284307,667.1,10.55,0.77047176,6.96,45.62,23.95245044,146.85,8.12,2.06,potable
2.29,6.3,28.8,7.45,0.205902197,545.2,1.54,0.623367032,34.93,49.24,12.53583833,164.69,8.78,2.39,potable
3.29,6.2,25.9,7.01,0.284722991,705.81,8.58,0.605339564,6.91,22.51,8.637461294,70.1,13.48,4.74,potable
4.73,6.2,28,6.65,1.54665466,33.56,6.72,0.706152122,15.83,6.03,13.37816481,182.6,13.82,4.91,potable
4,6.9,28.5,7.46,0.368789726,1438.7,4.46,0.602445141,13.41,24.79,8.547283221,46.75,11.52,3.76,potable
4.95,6.7,28.8,7.84,1.21722819,758.54,4.31,0.660093658,7.21,25.37,17.19268526,166.87,13.5,4.75,potable
3.63,6.8,27.6,6.81,2.773222741,386.68,6.56,0.655890772,44.99,30.02,14.71228463,209.04,5.32,0.66,potable
2.81,7,27.6,7.11,2.042016251,29.38,2.16,0.604543957,38.83,5.05,7.151750616,101.92,6.74,1.37,potable
2.85,6.9,28.3,8.05,1.997618956,349.97,7.79,0.600647959,23.74,30.33,11.51512302,40.12,12.84,4.42,potable
3.4,7.4,27.5,7.98,2.505456927,197.46,7.57,0.629227792,38.07,38.22,17.59550987,30.24,13.18,4.59,potable
3.63,7,30.5,7.97,2.939257293,210.64,4.79,0.633495926,6.33,15.26,15.23427716,40.43,9.74,2.87,potable
3.2,5.5,29.5,7.26,2.957547031,545.68,7.87,0.618670453,36.33,27.4,9.027167172,60.24,4.58,0.29,potable
3.95,6.9,22.3,6.69,2.117232988,443.96,2.16,0.602006074,15.4,13.9,18.96725863,14.95,11.2,3.6,potable
4.16,6.4,22.3,6.91,1.505470559,407.6,13.63,0.612184394,0.33,36.55,16.98060997,104.96,8.92,2.46,potable
0.4,5.2,25,7.7,2.04461384,156.5,5.67,0.607135123,7.97,40.44,9.767080689,220.67,13.46,4.73,potable
0.5,6.9,25.9,7.65,2.907360525,338.96,12.39,0.693648548,33.29,46.21,18.26121295,122.41,13.86,4.93,potable
0.23,3.4,25.9,7.49,2.748648658,1004.78,11.65,0.65176888,25.56,40.41,14.13669901,56.73,4.18,0.09,potable
4.64,7.4,24.8,8.43,1.794626228,1237.77,2.91,0.601304567,37.76,8.85,21.34084926,2.92,5.56,0.78,potable
3.34,6.7,27.5,6.58,0.28143452,944.82,0.83,0.755641211,0.79,5.9,16.41065407,188.58,11.4,3.7,potable
0.89,6.6,28,6.8,1.781852968,851.91,0.57,0.63072165,1.24,30.58,12.34038423,197.47,9.84,2.92,potable
1.48,6.1,25,6.86,2.175761618,1050.86,9.68,0.913413045,34.26,13.9,16.71655697,234.22,4.92,0.46,potable
4.07,6.6,25.8,7.12,1.874259716,901.36,3.23,0.643111317,3.69,28.84,13.21432417,174.25,4.4,0.2,potable
3.78,6.5,26.8,8.35,0.962296524,312.2,12.9,0.672607258,22.98,47.06,12.4666097,111.39,6.78,1.39,potable
0.45,6.7,31,8.34,2.556846709,310.45,8.02,0.61569558,17.31,13.5,14.2479472,41.98,9.2,2.6,potable
3.46,6.6,32,7.99,1.349971159,638.9,10.14,0.60238691,35.52,26.27,12.014243,83.6,6.34,1.17,potable
0.64,6.8,31,7.25,1.055556526,277.56,12.98,0.691188366,29.98,43.39,12.01067596,147.79,11.88,3.94,potable
4.82,6.3,28,6.68,0.289609764,201.78,1.25,0.732325885,26.37,0.06,12.35738526,107.34,5.42,0.71,potable
1.52,7.1,28.4,7.32,1.485613286,1396.19,7.3,0.616429648,8.59,41.43,10.83824882,47.26,5.22,0.61,potable
2.3,6.7,24,7.42,0.547561153,1255.84,12.97,0.636369246,39.61,16.95,10.64178919,190.06,6.42,1.21,potable
4.34,6.7,24.8,8.1,2.409779462,236.33,14.06,0.661562716,10.7,34.61,13.46179443,219.58,11.02,3.51,potable
2.4,7.1,24,7.32,0.505474342,1180.26,12.55,0.722973807,22.74,23.65,13.76780176,228.66,8.44,2.22,potable
3.95,7.1,25,7.02,2.471312319,1066.74,4.34,0.728283732,38.24,8.19,12.51197343,246.2,13.54,4.77,potable
2.55,7.1,23.3,7.52,0.627740002,941.15,9.44,0.619976785,15.45,43.67,15.45930696,191.89,12.92,4.46,potable
0.98,7.2,25.8,7.86,0.053293667,204.11,5.15,0.655042346,39.81,25.96,14.58729016,188.05,12.58,4.29,potable
0.88,6.4,25.8,7.01,0.886894322,1442.58,3.4,0.656767171,10.38,28.47,17.20749438,76.36,9.28,2.64,potable
3.31,7,25.8,7.93,0.769116614,1247.03,6.59,0.658623632,3.69,38.82,14.03399501,54.41,4.64,0.32,potable
4.3,6.6,26,8.15,1.746794219,1400.63,2.57,0.612303389,31.66,40.56,13.86045341,156.19,9.36,2.68,potable
2.58,7.5,26,7.03,1.661126253,1087.24,14.44,0.600274023,26.26,0.53,13.64323622,15.73,4.6,0.3,potable
2.68,6.9,24.4,6.95,0.172765299,72.41,8.96,0.703093347,32.17,6.45,15.3106314,220.97,11.24,3.62,potable
0.4,6.8,23.4,7.79,2.229955409,464.32,10.05,0.61891225,38.95,49.9,11.23514423,21.73,4.62,0.31,potable
0.32,7,24.3,7.29,0.673076121,467.08,4.85,0.610943491,43.84,29.54,20.60555207,48.88,6.84,1.42,potable
0.39,5.2,17.7,7.61,1.051940167,1061.2,0.49,0.624755665,39.37,12.9,12.09249934,82.24,11.7,3.85,potable
0.13,7.2,17,8.49,0.782323645,1481.56,14.85,0.63117296,41.82,12.06,11.41018355,130.69,4.64,0.32,potable
0.65,7,17.3,8.47,0.58438386,1420.41,4.41,0.601027938,7,5.71,17.38551498,4.1,4.34,0.17,potable
0.75,7,28,7.23,0.766459285,799.58,14.68,0.600035446,13.45,11.63,12.4199055,0.75,9.96,2.98,potable
0.08,7.2,32,8.36,2.488556646,527.83,14.33,0.64984604,20.35,36.26,14.16831424,148.68,9.42,2.71,potable
0.94,6.7,21.4,7.77,1.214811158,310.12,2.33,0.619788893,32.93,13.42,8.963253883,22.38,8.34,2.17,potable
3.4,6.5,22.3,7.56,2.945550857,1454.78,6.87,0.826673438,37.23,41.67,14.44918097,243.28,7.54,1.77,potable
2.83,0.6,18.3,6.71,0.40695159,1220.93,1.01,0.637654135,21.15,40.04,21.4302933,85.88,10.56,3.28,potable
0.48,6.6,22.8,7.43,0.203190954,1062.8,10.32,0.669893052,14.51,11.03,20.05761944,110.17,6.02,1.01,potable
0.99,6.8,21.8,8.18,2.897672828,515.58,8.66,0.602097551,17.74,49.5,16.52194196,5.03,7.78,1.89,potable
4.82,7.3,26.9,7.67,1.504238304,1449.46,12.95,0.669726418,22.69,28.36,18.82859407,74.5,9.4,2.7,potable
3.3,6.5,27.3,8.32,0.073111322,440.42,14.77,0.610103673,33.44,5.69,20.22207487,125.55,6.14,1.07,potable
4.68,7.2,19,8.25,1.528798298,87.67,4.27,0.686842118,25.77,5.07,15.56345966,102.81,13.86,4.93,potable
3.99,7.4,26,7.59,2.348114282,584.45,0.54,0.652962291,25.79,29.36,14.06313997,110.43,10.22,3.11,potable
0.12,6.5,19,7.23,1.555369459,33.83,13.83,0.610244582,38.93,33.44,13.60964252,59.71,11.7,3.85,potable
2.39,6.6,21.8,7.54,0.447903384,19.62,5.54,0.60511027,14.82,14.57,6.059608221,5.77,8.94,2.47,potable
4.32,7.1,22.3,7.72,2.854364239,264.11,10.89,0.611052456,15.81,15.39,15.69283855,134.51,9.6,2.8,potable
4.75,7.5,22.3,7.41,1.806337958,704.16,12.72,0.602513422,37.25,12.26,16.00520675,9.8,5.02,0.51,potable
3.02,5.4,22.3,6.73,0.178881558,1185.86,8.81,0.688045589,11.6,0.48,18.2352202,124.64,13.88,4.94,potable
1.5,7,23,7.55,0.464238549,39.95,9.33,0.618561856,13.02,18.45,11.79324634,171.06,13.52,4.76,potable
3.81,7.1,23,8.1,0.728175589,449.91,9.44,0.604744004,25.69,20.89,17.59212637,16.39,5.12,0.56,potable
0.09,6.5,23,6.67,1.760979972,6.7,6.84,0.602613677,32.85,27.32,13.33538104,200.65,4.66,0.33,potable
1.92,6.7,23,7.61,1.884454437,882.64,1.79,0.611876598,20.73,37.87,11.32544664,24.24,7.56,1.78,potable
3.07,7.1,22,7.38,1.697133268,430.18,7.44,0.646558176,10.7,32.89,13.2831001,50.93,4.96,0.48,potable
0.08,6.9,22.3,8.11,0.732137809,128.75,10.41,0.607170083,25.48,33.61,14.38834959,41.91,4.76,0.38,potable
2.75,6.7,27,6.76,2.076231034,893.68,1.46,0.667770829,36.84,18.04,13.53166045,177.09,8.98,2.49,potable
1.5,6.2,30,8.06,0.73246049,1478.83,2.12,0.606384853,31.72,20.92,14.92061556,37.55,9.58,2.79,potable
0.71,7.5,23,8.45,2.227820705,162.26,4.69,0.645694357,26.63,29.36,14.06559734,189.23,4.9,0.45,potable
2.78,7.6,23,7.64,0.139011696,0.61,14.36,0.693645463,25.51,12.82,11.85510295,110.2,12.58,4.29,potable
1.47,2.2,22.7,6.88,1.906737601,251.69,1.82,0.654757179,4.98,48.29,10.50402321,78.54,8.9,2.45,potable
0.56,7.4,23,7.15,1.202566654,766.33,0.52,0.625384808,25.42,37.19,10.82460037,47.29,7.74,1.87,potable
2.26,7,23.5,6.54,0.739980296,1012.02,7.72,0.624437542,33.84,35.54,12.86641996,56.37,10.12,3.06,potable
0.84,5.3,23,7.68,1.533804657,508.62,14.34,0.666410774,13.4,8.12,15.69217561,204.46,13.94,4.97,potable
4.92,6.3,23.5,7.35,0.195718945,441.65,1.19,0.771559043,4.62,45.28,15.29749572,247.43,11.18,3.59,potable
1.13,6.7,23,7.61,1.991270919,1251.17,5.69,0.629401203,14.18,25.42,13.89895042,63.92,8.58,2.29,potable
4.85,6,23,7.85,1.951315025,393.71,8,0.621976176,25.89,45.36,18.42838695,43.12,6.82,1.41,potable
2.2,4.2,22.5,7.55,2.488201453,1366.4,12.48,0.603541128,26.97,19.6,11.24646038,35.03,5.92,0.96,potable
3.73,5.1,23,8.45,2.645574362,1379.23,8.98,0.669458176,14.61,9.55,17.73188235,124.35,9.62,2.81,potable
3.94,5.3,22.5,6.92,2.551389659,1408.41,4.07,0.613448148,20.53,34.43,10.37184324,206.12,12.82,4.41,potable
4.2,6.9,20,6.6,1.851838688,708.97,3.69,0.627207608,9.13,1.99,12.81460367,24.5,8.32,2.16,potable
1.9,2.8,22.7,8.19,0.166371951,1415.18,3.81,0.70005774,39.29,16.74,15.15117258,123.6,12.32,4.16,potable
3.71,5.3,26,8.09,0.14129892,1228.91,11.01,0.603009698,28.34,1.12,14.42088194,13.75,13.32,4.66,potable
1.37,6.5,19,7.29,1.897431784,840.62,7.1,0.640716422,16.38,46.87,15.8690103,61.5,4.36,0.18,potable
4.25,6.9,22.5,8.26,2.061412137,343.46,6.83,0.604983985,5.7,12.79,15.02396166,74.55,9.6,2.8,potable
0.43,7,18.9,6.8,1.274265607,819.2,10.36,0.602689138,6.17,33.04,12.71218695,4.22,10.2,3.1,potable
0.58,5.6,21,7.06,0.457304386,522.88,4.05,0.601039422,37.59,24.88,11.40337222,226.48,12.68,4.34,potable
4.58,6.8,22.5,7.41,1.792801403,95.76,9.41,0.606896892,26.74,1,20.93935933,196.51,5.02,0.51,potable
3.83,6,23,7.66,1.815847,1106.75,1.55,0.607742259,32.78,19.92,15.60372925,13.99,4.16,0.08,potable
0.69,6.3,24.4,7.8,0.809416285,842.78,13.18,0.69382427,20.72,32.08,10.35399456,236.78,4.74,0.37,potable
3.52,6.5,21.8,7.26,2.674310268,1018.67,9.74,0.627790338,21.03,33.75,12.49565771,57.14,13.14,4.57,potable
4.91,6.4,20.8,6.79,0.324625731,292.03,5.42,0.625855383,39.99,26.86,14.36562486,216.9,8.46,2.23,potable
1.3,7.3,25.2,8.09,0.000376812,704.42,14.44,0.673106032,43.51,28.47,16.05320185,126.31,8.54,2.27,potable
1.18,6.8,24,6.74,0.474649541,1211.22,13.17,0.623183049,28.53,8.1,10.07019192,62.34,9.4,2.7,potable
2.28,7.5,23.4,7.3,0.016198669,814.01,2.64,0.606420411,40.66,14.07,20.22442581,67.26,13.56,4.78,potable
0.5,7.7,23.4,8.42,0.405210411,797.57,2.13,0.720323204,9.29,28.17,12.90673002,187.22,7.02,1.51,potable
2.5,7.6,23.2,6.9,0.747917614,719.22,10.88,0.660810962,21.76,9.14,14.94781096,211.6,11.82,3.91,potable
0.33,7.5,23.3,8.17,2.35800567,307.26,6.12,0.827752966,4.94,44.58,17.84899443,191.97,9.8,2.9,potable
0.91,7.4,28.4,7.59,1.742599179,499.99,7.52,0.849211922,35.08,28.69,13.97860817,232.2,11.24,3.62,potable
1.89,6.7,28.6,6.71,2.336559441,528.1,12.03,0.619063027,27.62,5.54,13.52652199,100.8,10.38,3.19,potable
4.65,7.1,28.5,6.88,2.044643846,157.52,7.96,0.639087198,42.5,12.71,11.05580115,64.67,10.94,3.47,potable
2.51,6.7,29.9,7.88,2.806235927,1105.2,4.17,0.601090738,20.3,1.23,12.56706136,1.17,8.72,2.36,potable
1.19,7.4,29.9,8.02,1.89867657,1175.14,10.28,0.724738897,8.95,25.82,19.3558411,87,12.08,4.04,potable
1.78,6.4,29.8,8.37,1.353434105,995.11,3.99,0.745425569,18.22,42.89,13.13395934,223.44,7.48,1.74,potable
0.58,6.9,30.2,8.32,0.138413113,771.7,9.32,0.698301464,7.59,10.16,13.26210211,94.36,8.2,2.1,potable
3.15,6.3,29.7,6.97,1.566156666,1150.23,8.56,0.614881101,31.73,3.47,17.85721377,31.48,13.94,4.97,potable
4.22,7.4,30.1,8.33,0.533180293,652.9,12.84,0.652706886,9.08,3.84,16.08971042,87.96,4.66,0.33,potable
2.78,7.2,30.3,6.66,0.012706365,189.32,14.39,0.740640445,42.12,23.5,14.17650116,219.17,11.52,3.76,potable
1.97,6.6,29.8,7.92,2.291233424,943.96,11.48,0.68646889,28.59,42.73,15.97601765,210.15,9.94,2.97,potable
0.13,6.9,26,7.66,2.481970279,1496.62,4.5,0.602318844,41.98,38.23,14.09071858,194.68,9.72,2.86,potable
4.67,7,27,6.66,1.764835655,411.09,3.22,0.71403029,28.53,0.68,19.64389586,146.42,5.66,0.83,potable
2.06,7.2,27,6.53,1.351479349,1352.76,2.75,0.671222092,4.07,24.73,16.57656488,161.69,13.74,4.87,potable
4.1,6.9,29.3,8.39,1.857627007,789.42,3.28,0.613090261,12.53,28.65,10.58358121,165.51,4.82,0.41,potable
3.32,6.4,28.4,8.35,2.552601681,365.64,8.06,0.776871901,11.8,22.39,17.54543954,232.8,9.8,2.9,potable
1.42,7.6,32,7.05,1.469842867,2.03,10.66,0.650786256,25.39,44.85,14.66544144,193.05,9.3,2.65,potable
4.98,6.9,28.3,7.53,2.940115871,849.68,7.81,0.641139388,33.18,27.93,7.619812483,89.47,9.56,2.78,potable
4.02,6.8,29.3,8.49,1.429215014,1369.7,10.56,0.606182676,39.09,48.2,7.090387209,46.91,4.24,0.12,potable
4.11,6.6,28.8,7.22,1.845757409,1274.34,5.91,0.612437065,28.7,9.38,11.973422,236.6,11.28,3.64,potable
1.68,6.5,29,7.3,2.065755275,1275.35,12.29,0.612759214,11.34,44.84,8.189662176,164.52,11.3,3.65,potable
4.15,6.1,28.8,7.83,2.330109618,629,7.73,0.785797746,32.91,30.82,15.96565159,143.17,6.16,1.08,potable
3.64,6.5,27.3,6.92,1.896764289,1048.08,9.2,0.601839977,11.29,48.45,14.91119053,3.83,6.66,1.33,potable
0.38,6.9,28.3,8.23,0.5683221,437.53,4.76,0.845593895,29.69,19.15,18.71387553,190.12,12.86,4.43,potable
3.81,5.6,29,7.99,2.394264745,420.19,9.41,0.629175959,22.25,4.02,16.77754027,29.31,4.9,0.45,potable
2.86,4.9,27.6,7.66,2.676184934,670.34,5.54,0.602170566,16.81,7.59,13.78926724,114.27,4.1,0.05,potable
2.88,4.9,28.8,6.97,1.083966971,1168.06,6.42,0.829013753,16.3,6.02,11.14708534,195.27,8.04,2.02,potable
4.83,5.2,28.3,7.71,1.372468879,1050.38,2.2,0.735723039,3.47,6.86,12.49338833,244.86,10.2,3.1,potable
4.83,3.3,27.8,6.55,2.111045675,451.71,4.19,0.654709807,31.96,45.3,13.81845025,229.27,9.98,2.99,potable
0.47,4.9,28.5,8.31,2.138890044,940.96,6.99,0.708837204,24.39,3.17,16.27483066,192.16,4.04,0.02,potable
4.16,5,28.1,6.67,1.773299784,496.59,6.96,0.6063259,31.05,44.82,17.03360168,18.12,7.4,1.7,potable
1.45,4.8,29,6.61,2.937432585,88.46,12.44,0.688478073,21.23,14.15,14.68357985,199.17,12.08,4.04,potable
3.64,4.7,29.5,8.08,2.765363924,339.87,11.28,0.623900785,24.67,32.93,13.53343295,94.27,8.26,2.13,potable
2.43,5.4,30.2,8.4,1.176673999,59.85,7.64,0.631403834,36,26.26,18.23871124,191.17,4.28,0.14,potable
4.83,5.1,28.3,8.31,1.47689315,710.78,11.74,0.812825359,21.05,33.47,8.233404554,239.81,11.94,3.97,potable
4.36,4.2,28.7,8.13,2.067490106,864.03,2.24,0.613027018,4.34,2.53,14.6705549,145.09,6.04,1.02,potable
2.62,4.8,26,6.57,0.936983023,37.92,9.57,0.614420378,10.41,35.25,17.56193335,11.48,7.98,1.99,potable
1.2,5.2,24,8.16,2.883801119,986.39,0.94,0.607316041,35.67,3.3,10.89008481,5.83,11.48,3.74,potable
0.2,7.8,32.1,7.15,1.656392019,690.34,13.92,0.605770167,26.82,27.6,17.34380558,6.76,9.68,2.84,potable
0.18,6.7,30.3,6.97,1.469600266,1189.2,7.06,0.638587577,36.41,24.25,11.98832391,189.6,13.42,4.71,potable
4.98,8,30.1,7.41,1.456376033,1363.96,1.93,0.667320767,18.19,15.93,8.602425359,121.95,5.9,0.95,potable
1.87,4.88,28.8,8.03,1.81821998,123.72,11.79,0.64059192,35.52,45.71,14.29852082,241.02,7.26,1.63,potable
0.09,5.67,28.7,7.66,1.744264023,846.01,8.23,0.839813294,21.85,34.45,14.79955298,202.59,4.92,0.46,potable
2.1,6,29,7.16,2.630498806,402.74,7.95,0.739921345,9.88,12.61,10.78596494,154.92,7.24,1.62,potable
1.65,6.15,28.5,7.92,0.518229337,1144.53,8.52,0.699860157,7.44,16.37,14.51299105,108.84,13.96,4.98,potable
0.56,2.7,27.7,6.54,1.92323607,693.88,12.75,0.686121389,43.32,43.72,16.31169636,236.6,5.12,0.56,potable
1.41,2.98,28.6,7.81,1.30074393,424.66,1.95,0.734222466,0.86,45.09,11.85890453,222.59,10.76,3.38,potable
1.46,5.48,27.1,6.64,2.439764059,731.77,11.66,0.613818994,14.9,21.33,14.42722549,32.37,8.16,2.08,potable
4.3,5.13,27.1,7.43,2.199225627,726.07,2.75,0.619646025,31.35,33.52,11.16909021,89.22,9.22,2.61,potable
2.56,7.85,27,6.97,2.520187109,887.36,11.8,0.60938705,28.08,14.81,16.30747374,138.24,5.18,0.59,potable
2.24,6.58,26.8,8.14,0.919285305,253.45,9.34,0.637146945,0.41,41.17,18.99915352,69.09,10.96,3.48,potable
3.42,7.58,26.8,6.76,1.671883066,656.75,14.4,0.672831543,21.17,32.4,14.05846094,175.75,6.76,1.38,potable
2.71,8.23,26.4,6.55,2.378772092,361.26,9.68,0.629711961,21.25,39.27,13.68602599,174.38,4.86,0.43,potable
0.48,8.23,22.1,8.39,0.661018448,1368.62,1.98,0.685002025,7.18,5.72,5.871941344,220.04,12.44,4.22,potable
0.81,6.6,22.3,7.03,0.692874056,1209.38,3.99,0.600253707,29.09,10.66,20.53968805,37.57,7.26,1.63,potable
3.41,6.8,22,6.86,2.404496958,1222.73,4.02,0.601983175,34.27,6.78,16.71147099,34.48,10,3,potable
2.39,6.8,22,8.28,2.298730338,1467.71,9.93,0.633701258,10.19,16.07,14.08310964,152.82,6.16,1.08,potable
1.16,6.4,22,8.09,0.286519321,1132.5,8.88,0.623049115,18.12,34.35,17.38447055,204.55,7.52,1.76,potable
4.08,6.5,28.2,7.98,1.178805833,281.26,5.86,0.742614084,19.29,23.17,10.93386725,156.61,7.54,1.77,potable
1.36,6.2,28.2,7.97,0.379946331,1373.71,6.44,0.731796472,4.14,1.03,8.360283485,193.87,11.42,3.71,potable
4.35,6.3,28.3,8.27,2.60192978,865.56,2.72,0.672681876,33.56,38.1,15.894674,96.46,13.14,4.57,potable
3.4,6.5,26.3,7.43,2.736600825,272.92,3.47,0.60187435,16.34,10.77,13.95471046,36.92,7.92,1.96,potable
0.4,6.1,26.1,7.5,2.357699548,1290.28,11.18,0.711416619,32.91,5.38,12.19944909,220.79,7.36,1.68,potable
4.29,6.3,26,7.45,0.487002711,60.26,4.43,0.620963792,36.03,3.13,14.49579062,115.74,11.96,3.98,potable
2.41,6.6,27.6,8.14,0.405008515,98.49,5.14,0.620167038,42.25,5.41,14.86113268,36.41,10.04,3.02,potable
2.69,6.2,27.6,7.96,0.490012945,1380.31,11.65,0.605583669,44.38,23.33,12.03845715,66.46,12.98,4.49,potable
1.09,6.7,27.3,7.24,0.493568759,383.05,1.34,0.615728853,21.02,21.89,14.08438826,100.51,13,4.5,potable
0.78,6.8,27.4,7.7,0.231435977,1448.93,1.82,0.605924596,9.26,24.86,15.69872552,219.92,4.1,0.05,potable
0.92,5.9,27.3,7.21,0.296835046,1164.87,0.14,0.645171042,35.45,37.79,10.04977199,50.72,10.38,3.19,potable
3.57,7.3,26,7.48,2.286952827,1100.98,6.91,0.60504235,7.49,27.55,14.28296053,106.46,12.04,4.02,potable
1.09,5.7,26.2,7.24,1.213977886,514.74,0.57,0.662597308,6.67,7.98,15.7155459,195.83,9.86,2.93,potable
3.36,4.7,27.5,8.33,2.400088018,1162.9,0.53,0.702163577,42.01,29.38,11.28570884,96.02,4.28,0.14,potable
0.38,5.8,28.1,8.04,0.79390043,865.46,9.66,0.759155901,5.75,14.71,17.8719497,179.44,7.58,1.79,potable
1.96,2.5,28.2,8.15,0.413535127,1182.04,10.73,0.65159967,8.89,36.87,14.12104923,227.79,6.5,1.25,potable
1.46,6.1,27.6,7.2,0.04611977,673.06,7.55,0.634607265,8.45,19.98,13.67643542,138.01,11.64,3.82,potable
4.17,0.6,28,6.93,2.957681506,1240.43,10.15,0.646209815,9.77,15.34,15.86775076,61.12,9.08,2.54,potable
2.38,3.2,24.3,7.47,2.182446653,20.48,11.92,0.697333577,22.83,28.46,10.06925422,228.26,5.32,0.66,potable
4.64,4.2,25.8,7.86,2.900618998,624.46,3.62,0.602991922,1,11.75,19.57257183,9.5,10.72,3.36,potable
2.94,2.9,27.8,8.14,1.697497219,9.98,9.71,0.669639943,22.79,37.04,14.37676427,138.31,10.34,3.17,potable
2.97,5,26.3,7.05,1.207992129,140.73,6.4,0.68970371,33.56,5.4,9.704704113,249.01,12.02,4.01,potable
1.26,7.2,28.5,8.13,2.820051614,645.6,8.22,0.662053377,5.71,31.74,13.00188064,168.68,8.28,2.14,potable
4.2,5.5,29.3,8.43,2.42708367,803.42,2.51,0.822383055,40,38.62,16.73674859,234.09,8.28,2.14,potable
1.64,6.2,27.6,8.43,2.32345508,1209.22,10.03,0.61515687,21.7,5.84,13.44751311,46.55,13.04,4.52,potable
1.14,6.5,28.1,7.4,1.919546162,596.13,0.23,0.642891293,23.02,20.3,13.95133161,74.02,6.8,1.4,potable
1.83,8.1,27.8,7.49,2.512704099,134.91,2.85,0.699255924,5.36,4.92,17.13883102,121.64,10.52,3.26,potable
2.2,7.8,28.1,7.09,1.776004469,1300.02,9.02,0.782020538,12.85,20,11.87172464,247.46,5.12,0.56,potable
1.73,7.8,26.6,7.66,2.979392173,1475.8,14.98,0.639297931,43.33,29.95,12.70142233,116.46,7.58,1.79,potable
3.22,7.2,27.8,6.53,2.221582566,770.93,12.91,0.623071312,31.56,48.93,18.50376189,242.57,13.66,4.83,potable
